param_name_chr,deter_val,distribution,dstr_param_1,dstr_param_2,dstr_param_3,dstr_param_4,transformation,use_in,source
pop_pe_sign,0,uniform,NA,NA,NA,NA,"ifelse(runif(1) < 0.5, -1, 1)",Base,NA
mape_05_yr_f_00_04,0,pert,3.5,0,7,4,NA,base,NA
mape_05_yr_f_05_09,0,pert,1.2,0,2.4,4,NA,base,NA
mape_05_yr_f_10_14,0,pert,1.5,0,3,4,NA,base,NA
mape_05_yr_f_15_19,0,pert,1.2,0,2.4,4,NA,base,NA
mape_05_yr_f_20_24,0,pert,2,0,4,4,NA,base,NA
mape_05_yr_f_25_29,0,pert,2.8,0,5.6,4,NA,base,NA
mape_05_yr_f_30_85,0,pert,2.8,0,5.6,4,NA,base,NA
mape_05_yr_m_00_04,0,pert,3.5,0,7,4,NA,base,NA
mape_05_yr_m_05_09,0,pert,1.2,0,2.4,4,NA,base,NA
mape_05_yr_m_10_14,0,pert,1.4,0,2.8,4,NA,base,NA
mape_05_yr_m_15_19,0,pert,1,0,2,4,NA,base,NA
mape_05_yr_m_20_24,0,pert,2,0,4,4,NA,base,NA
mape_05_yr_m_25_29,0,pert,3.2,0,6.4,4,NA,base,NA
mape_05_yr_m_30_85,0,pert,3.2,0,6.4,4,NA,base,NA
mape_10_yr_f_00_04,0,pert,6.5,0,13,4,NA,base,NA
mape_10_yr_f_05_09,0,pert,3.2,0,6.4,4,NA,base,NA
mape_10_yr_f_10_14,0,pert,2.2,0,4.4,4,NA,base,NA
mape_10_yr_f_15_19,0,pert,2.8,0,5.6,4,NA,base,NA
mape_10_yr_f_20_24,0,pert,2.4,0,4.8,4,NA,base,NA
mape_10_yr_f_25_29,0,pert,2.2,0,4.4,4,NA,base,NA
mape_10_yr_f_30_85,0,pert,2.2,0,4.4,4,NA,base,NA
mape_10_yr_m_00_04,0,pert,6.8,0,13.6,4,NA,base,NA
mape_10_yr_m_05_09,0,pert,3.4,0,6.8,4,NA,base,NA
mape_10_yr_m_10_14,0,pert,2.4,0,4.8,4,NA,base,NA
mape_10_yr_m_15_19,0,pert,3.4,0,6.8,4,NA,base,NA
mape_10_yr_m_20_24,0,pert,3,0,6,4,NA,base,NA
mape_10_yr_m_25_29,0,pert,3.2,0,6.4,4,NA,base,NA
mape_10_yr_m_30_85,0,pert,3.2,0,6.4,4,NA,base,NA
mape_15_yr_f_00_04,0,pert,6.2,0,12.4,4,NA,base,NA
mape_15_yr_f_05_09,0,pert,5.6,0,11.2,4,NA,base,NA
mape_15_yr_f_10_14,0,pert,3.8,0,7.6,4,NA,base,NA
mape_15_yr_f_15_19,0,pert,3.6,0,7.2,4,NA,base,NA
mape_15_yr_f_20_24,0,pert,4,0,8,4,NA,base,NA
mape_15_yr_f_25_29,0,pert,4.6,0,9.2,4,NA,base,NA
mape_15_yr_f_30_85,0,pert,4.6,0,9.2,4,NA,base,NA
mape_15_yr_m_00_04,0,pert,6.2,0,12.4,4,NA,base,NA
mape_15_yr_m_05_09,0,pert,5.4,0,10.8,4,NA,base,NA
mape_15_yr_m_10_14,0,pert,3.4,0,6.8,4,NA,base,NA
mape_15_yr_m_15_19,0,pert,3,0,6,4,NA,base,NA
mape_15_yr_m_20_24,0,pert,3.6,0,7.2,4,NA,base,NA
mape_15_yr_m_25_29,0,pert,4.2,0,8.4,4,NA,base,NA
mape_15_yr_m_30_85,0,pert,4.2,0,8.4,4,NA,base,NA
