"service_type","cluster_name","service_name","lat","long"
"Headspace","Headspace","Adelaide",-34.928607,138.607462
"Headspace","Headspace","Albany",-35.020833,117.884457
"Headspace","Headspace","Albury Wodonga",-36.123413,146.887568
"Headspace","Headspace","Alice Springs",-23.697007,133.882922
"Headspace","Headspace","Armadale",-32.155068,116.014578
"Headspace","Headspace","Ashfield",-33.888931,151.124294
"Headspace","Headspace","Bairnsdale",-37.826296,147.630381
"Headspace","Headspace","Ballarat",-37.560664,143.859655
"Headspace","Headspace","Bankstown",-33.914045,151.037954
"Headspace","Headspace","Bendigo",-36.7582,144.281175
"Headspace","Headspace","Bentleigh",-37.932498,145.034955
"Headspace","Headspace","Berri",-34.287788,140.600945
"Headspace","Headspace","Bondi Junction",-33.893005,151.249931
"Headspace","Headspace","Brookvale",-33.766205,151.268883
"Headspace","Headspace","Broome",-17.954987,122.236092
"Headspace","Headspace","Bunbury",-33.327964,115.63886
"Headspace","Headspace","Bundaberg",-24.867313,152.35054
"Headspace","Headspace","Caboolture",-27.085508,152.953059
"Headspace","Headspace","Cairns",-16.924364,145.776651
"Headspace","Headspace","Campbelltown",-34.066804,150.813648
"Headspace","Headspace","Camperdown",-33.889176,151.178258
"Headspace","Headspace","Canberra",-35.275855,149.133376
"Headspace","Headspace","Capalaba",-27.523684,153.19933
"Headspace","Headspace","Castle Hill",-33.73525,151.003286
"Headspace","Headspace","Chatswood",-33.799005,151.184656
"Headspace","Headspace","Collingwood",-37.797465,144.995808
"Headspace","Headspace","Craigieburn",-37.593754,144.91395
"Headspace","Headspace","Dandenong",-37.987489,145.212346
"Headspace","Headspace","Darwin",-12.372361,130.881791
"Headspace","Headspace","Devonport",-41.181431,146.359744
"Headspace","Headspace","Edinburgh North",-34.709243,138.662717
"Headspace","Headspace","Elsternwick",-37.884337,145.002375
"Headspace","Headspace","Frankston",-38.146113,145.124224
"Headspace","Headspace","Fremantle",-32.056616,115.745884
"Headspace","Headspace","Geelong",-38.151078,144.362355
"Headspace","Headspace","Geraldton",-28.775188,114.607436
"Headspace","Headspace","Gladstone",-23.842705,151.255094
"Headspace","Headspace","Glenroy",-37.704901,144.918107
"Headspace","Headspace","Greensborough",-37.703383,145.104746
"Headspace","Headspace","Gympie",-26.184407,152.665673
"Headspace","Headspace","Hawthorn",-37.822898,145.036069
"Headspace","Headspace","Hervey Bay",-25.289194,152.83343
"Headspace","Headspace","Hobart",-42.880235,147.327973
"Headspace","Headspace","Horsham",-36.718033,142.197624
"Headspace","Headspace","Hurstville",-33.963869,151.100115
"Headspace","Headspace","Inala",-27.601115,152.977886
"Headspace","Headspace","Ipswich",-27.613747,152.761482
"Headspace","Headspace","Joondalup",-31.741972,115.769621
"Headspace","Headspace","Kalgoorlie",-30.745349,121.471998
"Headspace","Headspace","Knox",-37.870456,145.243921
"Headspace","Headspace","Launceston",-41.439003,147.13548
"Headspace","Headspace","Liverpool",-33.916203,150.925186
"Headspace","Headspace","Mackay",-21.141164,149.184091
"Headspace","Headspace","Mandurah",-32.528092,115.74411
"Headspace","Headspace","Maroochydore",-26.654811,153.082647
"Headspace","Headspace","Meadowbrook",-27.666533,153.139295
"Headspace","Headspace","Melton",-37.702627,144.574459
"Headspace","Headspace","Melton",-37.702627,144.574459
"Headspace","Headspace","Melton",-37.702632,144.574225
"Headspace","Headspace","Melton",-37.702632,144.574225
"Headspace","Headspace","Midland",-31.88639,116.005975
"Headspace","Headspace","Mildura",-34.185359,142.15557
"Headspace","Headspace","Miranda",-34.034869,151.104419
"Headspace","Headspace","Morwell",-38.238034,146.39481
"Headspace","Headspace","Mount Druitt",-33.766691,150.824924
"Headspace","Headspace","Mount Gambier",-37.83226,140.793202
"Headspace","Headspace","Mount Isa",-20.727509,139.490493
"Headspace","Headspace","Murray Bridge",-35.116501,139.274944
"Headspace","Headspace","Narre Warren",-38.023471,145.313751
"Headspace","Headspace","Onkaparinga",-35.139655,138.471091
"Headspace","Headspace","Osborne Park",-31.901253,115.827723
"Headspace","Headspace","Parramatta",-33.81961,151.005654
"Headspace","Headspace","Penrith",-33.752018,150.690503
"Headspace","Headspace","Port Adelaide",-34.845163,138.50119
"Headspace","Headspace","Port Augusta",-32.499659,137.770346
"Headspace","Headspace","Portland",-38.341278,141.604237
"Headspace","Headspace","Redcliffe",-27.229301,153.109204
"Headspace","Headspace","Rockhampton",-23.379961,150.512012
"Headspace","Headspace","Rockingham",-32.285831,115.750746
"Headspace","Headspace","Shepparton",-36.381418,145.402771
"Headspace","Headspace","Southport",-27.963585,153.41357
"Headspace","Headspace","Sunshine",-37.783318,144.831074
"Headspace","Headspace","Swan Hill",-35.337066,143.555188
"Headspace","Headspace","Taringa",-27.492436,152.97893
"Headspace","Headspace","Toowoomba",-27.557041,151.950187
"Headspace","Headspace","Townsville",-19.317965,146.729003
"Headspace","Headspace","Warrnambool",-38.384199,142.480697
"Headspace","Headspace","Warwick",-28.218039,152.03498
"Headspace","Headspace","Werribee",-37.90148,144.66219
"Headspace","Headspace","Whyalla",-33.030166,137.535244
"Headspace","Headspace","Wonthaggi",-38.604738,145.592537
"Headspace","Headspace","Woolloongabba",-27.493804,153.041808
